Entry	Gene Names (primary)	Gene Names	Mass	Length	Protein names
Q6LXS1	frdA	frdA MMP1277	59272	539	Fumarate reductase/succinate dehydrogenase, flavoprotein subunit (EC 1.3.99.1)
Q6LXS2		MMP1276	16712	148	Uncharacterized protein
Q6LXS3		MMP1275	21223	184	HTH cro/C1-type domain-containing protein
Q6LXS4		MMP1274	63363	557	Acetyl-CoA synthetase, AMP-forming-related (EC 6.2.1.1)
Q6LXS5	vorC	vorC MMP1273	8847	79	2-oxoisovalerate oxidoreductase subunit gamma (EC 1.2.7.-)
Q6LXS6	vorB	vorB MMP1272	38440	351	2-oxoisovalerate oxidoreductase subunit beta (EC 1.2.7.-)
Q6LXS7	vorA	vorA MMP1271	51781	479	2-oxoisovalerate oxidoreductase subunit alpha (EC 1.2.7.-)
Q6LXS8		MMP1270	46876	438	Orotidine 5'-phosphate decarboxylase
Q6LXS9		MMP1269	11333	96	YCII-related domain-containing protein
Q6LXT0		MMP1268	38459	338	Uncharacterized protein
Q6LXT1		MMP1267	28146	236	Uncharacterized protein
Q6LXT4		MMP1263	31915	270	Conserved hypothetical archaeal protein
Q6LXT5		MMP1262	20627	175	Uncharacterized protein
Q6LXT6		MMP1261	21459	190	DZANK-type domain-containing protein
Q6LXT7		MMP1260	41474	382	Conserved hypothetical Archael protein
Q6LXT8		MMP1259	47513	442	NAD(P)H: rubredoxin oxidoreductase (NPOR)
Q6LXU0		MMP1257	25407	225	NERD domain-containing protein
Q6LXU1		MMP1256	19630	167	Uncharacterized protein
Q6LXU4		MMP1253	33501	299	Damage-control phosphatase ARMT1-like metal-binding domain-containing protein
Q6LXU5		MMP1252	31433	279	CBS domain
Q6LXU6		MMP1251	20246	186	CBS domain-containing protein
Q6LXU7		MMP1250	19077	167	6-pyruvoyl tetrahydropterin synthase
Q6LXU8	fwdA	fwdA MMP1248	63266	567	Tungsten containing formylmethanofuran dehydrogenase, subunit A (EC 1.2.99.5)
Q6LXU9	fwdD	fwdD MMP1247	14149	128	Tungsten containing formylmethanofuran dehydrogenase, subunit D (EC 1.2.99.5)
Q6LXV0	fwdG	fwdG MMP1246	8343	80	Tungsten containing formylmethanofuran dehydrogenase, subunit G (EC 1.2.99.5)
Q6LXV1	fwdF	fwdF MMP1245	38230	352	Tungsten containing formylmethanofuran dehydrogenase, subunit F (EC 1.2.99.5)
Q6LXV2	fwdH	fwdH MMP1244	16642	148	Tungsten containing formylmethanofuran dehydrogenase, subunit H (EC 1.2.99.5)
Q6LXV3		MMP1243	24381	217	Conserved hypothetical archaeal protein
Q6LXV5		MMP1241	13633	119	Uncharacterized protein
Q6LXV7		MMP1239	29806	258	NAD/GMP synthase domain-containing protein
Q6LXV9		MMP1237	7471	66	Uncharacterized protein
Q6LXW1	moaE	moaE MMP1235	16198	141	Molybdopterin biosynthesis MoaE
Q6LXW2		MMP1234	26596	239	Conserved hypothetical membrane related protein
Q6LXW3		MMP1233	26908	241	TonB-dependent receptor protein:Formate dehydrogenase, subunit FdhD
Q6LXW4		MMP1232	34425	296	Phosphoadenosine phosphosulphate reductase domain-containing protein
Q6LXW5		MMP1231	14696	134	Putative HAD family hydrolase, a
Q6LXW6		MMP1230	40914	352	DNA polymerase, beta-like region
Q6LXW7		MMP1229	10159	100	FUN14 family protein
Q6LXW8		MMP1228	24691	215	Uncharacterized protein
Q6LXW9	cbiE	cbiE MMP1227	28464	246	Uroporphyrin-III C/tetrapyrrole (Corrin/Porphyrin) methyltransferase (EC 2.1.1.132)
Q6LXX0		MMP1226	43197	385	FAD-binding domain-containing protein
Q6LXX1		MMP1225	28910	254	Amino acid ABC-type transporter related protein
Q6LXX2		MMP1224	28999	254	ABC-type amino acid transport/signal transduction systems periplasmic component-related
Q6LXX3		MMP1223	52990	492	Conserved hypothetical archaeal protein
Q6LXX5	glgP	glgP MMP1220	60191	520	Glycogen phosphorylase (EC 2.4.1.1)
Q6LXX6		MMP1219	76781	669	Putative dinG ATP-dependent helicase (EC 3.6.1.-)
Q6LXX8		MMP1217	24583	219	Conserved hypothetical archaeal protein
Q6LXY0		MMP1214	26564	225	Uncharacterized protein
Q6LXY1		MMP1213	14842	130	Transcriptional regulator
Q6LXY2		MMP1212	41453	392	Acetyl-CoA C-acetyltransferase
Q6LXY4		MMP1210	25600	229	HTH cro/C1-type domain-containing protein
Q6LXY5		MMP1209	41964	357	NurA domain-containing protein
Q6LXY9		MMP1204	39080	339	Metallopeptidase family M24:Xaa-Pro dipeptidase/Xaa-Pro aminopeptidase (EC 3.4.21.-)
Q6LXZ1		MMP1202	15867	135	TsaA-like domain-containing protein
Q6LXZ2		MMP1201	21723	185	Staphylococcus nuclease (SNase-like):Thermonuclease (EC 3.1.31.1)
Q6LXZ4		MMP1199	32975	284	Phosphate transport system regulatory protein-related
Q6LXZ6		MMP1197	27295	253	Transport permease protein
Q6LXZ7		MMP1196	20288	182	Uncharacterized protein
Q6LXZ8	yneG	yneG MMP1195	14680	123	Putative cytoplasmic protein
Q6LXZ9		MMP1194	70799	682	Collagen triple helix repeat:Surface protein from Gram-positive cocci, anchor region
Q6LY00		MMP1193	164498	1497	Uncharacterized protein
Q6LY01		MMP1192	42792	371	Radical SAM core domain-containing protein
Q6LY05		MMP1188	10234	91	UPF0147 protein MMP1188
Q6LY08		MMP1185	19938	179	Hydrogen uptake protein:Hydrogenase maturation protease HycI (EC 3.-.-.-)
Q6LY09		MMP1184	20610	175	N-acetyltransferase related protein
Q6LY10		MMP1183	28492	253	Iron ABC transporter ATPase subunit
Q6LY11		MMP1182	37345	348	Iron(III) dicitrate transport system permease protein
Q6LY12		MMP1181	41741	378	Iron transport system binding protein
Q6LY13		MMP1180	65389	585	Radical SAM core domain-containing protein
Q6LY14		MMP1179	24586	218	SAM (And some other nucleotide) binding motif:Generic methyltransferase
Q6LY15		MMP1178	41279	373	Iron transport Periplasmic binding protein
Q6LY16		MMP1177	23545	204	Putative iron transport system substrate-binding protein, C-term half
Q6LY17		MMP1176	20216	187	Putative iron transport system substrate-binding protein, N-term half
Q6LY18		MMP1175	41065	360	O-methyltransferase
Q6LY20		MMP1173	28608	269	Conserved membrane protein
Q6LY23		MMP1170	25944	230	Glycosyl transferase, family 2 (EC 2.4.1.83)
Q6LY24		MMP1169	46415	418	SUF system FeS cluster assembly SufBD core domain-containing protein
Q6LY25		MMP1168	27745	248	ABC transporter ATP-binding protein
Q6LY26		MMP1167	20686	184	Flavoprotein related protein
Q6LY27		MMP1166	22003	197	Related to iron-sulfur flavoprotein of Methanosarcina thermophila
Q6LY29		MMP1164	8591	76	Heavy-metal transport ATPase related protein
Q6LY30		MMP1163	12057	104	CutA1 divalent ion tolerance protein Related Protein
Q6LY31		MMP1162	44358	387	Flavodoxin:Beta-lactamase-like
Q6LY32		MMP1161	13345	116	Conserved hypothetical Archael protein
Q6LY33		MMP1160	7082	62	Rubredoxin-like domain-containing protein
Q6LY34		MMP1159	19940	171	Ferritin
Q6LY35		MMP1158	9645	88	MTH865-like family protein
Q6LY36	rbo	rbo MMP1157	13628	118	Desulfoferrodoxin, ferrous iron-binding site (EC 1.15.-.-)
Q6LY37		MMP1156	11396	104	Carboxymuconolactone decarboxylase-like domain-containing protein
Q6LY41		MMP1152	13490	120	Conserved hypothetical archaeal protein
Q6LY42	mtbC	mtbC MMP1151	23661	215	Coenzyme B12-binding:Cobalamin-dependent methionine synthase, B12-binding
Q6LY43	mtaA	mtaA MMP1150	38983	352	Uroporphyrinogen decarboxylase (URO-D)
Q6LY45		MMP1148	8152	72	Putative snRNP Sm-like protein
Q6LY48	minD	minD MMP1145	28864	262	Septum formation inhibitor-activating ATPase
Q6LY49		MMP1143	14608	126	TPR repeat
Q6LY50		MMP1142	27891	236	Metallo-phosphoesterase:Serine/threonine-specific protein phosphatase
Q6LY52	fdxA	fdxA MMP1140	9250	81	Ferredoxin
Q6LY54		MMP1137	15926	140	Lrp-Like Transcriptional regulatory proteins, AsnC family
Q6LY55		MMP1136	15645	139	Rubrerythrin
Q6LY56		MMP1135	45551	406	Flavodoxin:Beta-lactamase-like
Q6LY57		MMP1134	45638	407	Type A flavoprotein
Q6LY58	comC	comC MMP1133	37095	347	L-sulfolactate dehydrogenase/(S)-hydroxyglutaric acid dehydrogenase (EC 1.1.1.272)
Q6LY61		MMP1130	14979	132	Secondary thiamine-phosphate synthase enzyme
Q6LY62	ppiB	ppiB MMP1129	17974	162	peptidylprolyl isomerase (EC 5.2.1.8)
Q6LY63	ppiB	ppiB MMP1128	22553	203	peptidylprolyl isomerase (EC 5.2.1.8)
Q6LY64		MMP1127	80487	713	RNA binding S1
Q6LY65		MMP1126	33269	292	Putative proliferating-cell nucleolar antigen
Q6LY66		MMP1125	18400	157	Archaeosortase family protein ArtE
Q6LY68		MMP1123	49594	438	Radical SAM core domain-containing protein
Q6LY69		MMP1122	43376	392	GTP1/OBG family:ATP/GTP-binding site motif A (P-loop):TGS domain
Q6LY70		MMP1121	21539	187	Metal-dependent phophohydrolase related protein
Q6LY72	yjlA	yjlA MMP1119	35177	314	Drug/metabolite transporter (DMT)-like permease
Q6LY73		MMP1118	12235	105	Uncharacterized protein
Q6LY74		MMP1117	18893	162	YkgJ family cysteine cluster protein
Q6LY76		MMP1115	30264	275	Transketolase, N terminal half (EC 2.2.1.1)
Q6LY78		MMP1113	33678	312	Transketoloase, C terminal half (EC 2.2.1.1)
Q6LY79		MMP1112	27847	251	Conserved hypothetical archaeal protein
Q6LY80	modA	modA MMP1111	39847	357	Periplasmic ModA molybdate-binding protein
Q6LY81		MMP1110	44266	391	Oligosaccharide repeat unit polymerase
Q6LY82		MMP1109	41707	369	DUF373 family protein
Q6LY85		MMP1106	12777	103	DNA repair exonuclease SbcCD ATPase subunit
Q6LY88		MMP1103	24477	214	TfuA-like core domain-containing protein
Q6LY89		MMP1102	25220	214	Phospholipase D/Transphosphatidylase
Q6LY91		MMP1100	15565	135	Putative transricptional regulator
Q6LY95		MMP1096	31435	291	Binding-protein-dependent transport systems inner membrane component
Q6LY96		MMP1095	29720	279	Phosphate-binding protein
Q6LY99		MMP1092	33471	304	Auxin Efflux Carrier
Q6LYA1		MMP1090	34364	306	UDP-glucose 4-epimerase related (EC 5.1.3.2)
Q6LYA2		MMP1089	56932	502	Polysaccharide biosynthesis protein
Q6LYA3		MMP1088	47658	410	Glycosyl transferase, group 1
Q6LYA4		MMP1087	40825	348	MoaA/NifB/PqqE/SkfB family radical SAM enzyme
Q6LYA5		MMP1086	37394	320	Radical SAM core domain-containing protein
Q6LYA6		MMP1085	25799	224	Methyltransferase domain-containing protein
Q6LYA7		MMP1084	71388	597	Asparagine synthase
Q6LYB0	wbpG	wbpG MMP1081	43603	370	Putative LPS biosynthesis protein WbpG
Q6LYB1		MMP1080	42347	364	Glycosyl transferase, group 1
Q6LYB2		MMP1079	32420	269	Glycosyl transferase, family 2
Q6LYB3		MMP1078	37771	314	Conserved Hypothetical Archael Protein
Q6LYB6	dut	dut MMP1075	17723	156	dUTP diphosphatase (EC 3.6.1.23)
Q6LYB7	ehbD	ehbD MMP1074	8623	80	MrpA C-terminal/MbhD domain-containing protein
Q6LYB8	ehbC	ehbC MMP1073	9614	84	Energy-converting hydrogenase B subunit C
Q6LYC0		MMP1071	15817	139	UPF0201 protein MMP1071
Q6LYC1		MMP1070	24446	210	Conserved hypothetical archaeal protein
Q6LYC2		MMP1069	33747	308	Basic helix-loop-helix dimerization domain bHLH:Peptidase U7:Signal peptide peptidase, SppA 36 kDa type (EC 3.4.21.-)
Q6LYC3		MMP1068	34518	322	K+-dependent Na+/Ca+ exchanger related-protein:Sodium/calcium exchanger membrane region
Q6LYC6		MMP1065	16307	144	Conserved hypothetical archaeal protein
Q6LYC7		MMP1064	21851	187	RNA-binding region RNP-1 (RNA recognition motif):Adenylate cyclase
Q6LYD0		MMP1061	22985	202	YigZ family protein
Q6LYD2		MMP1059	53854	483	FAD-dependent protein C-terminal domain-containing protein
Q6LYD3		MMP1058	37932	322	Conserved hypothetical archeal protein
Q6LYD4		MMP1057	40367	353	Uncharacterized protein
Q6LYD5		MMP1056	45009	400	YcaO domain-containing protein
Q6LYD9		MMP1052	29311	264	Conserved hypothetical archaeal protein
Q6LYE1		MMP1050	24384	215	NYN domain-containing protein
Q6LYE2		MMP1049	9700	89	Related to ehbB of Methanothermobacter thermautotrophicus
Q6LYE3		MMP1048	15272	129	UPF0216 protein MMP1048
Q6LYE4		MMP1047	13371	121	DUF22 domain-containing protein
Q6LYF3	atpH	atpH MMP1038	11330	102	A1A0 ATPase, subunit H (EC 3.6.3.14)
Q6LYF5		MMP1036	30362	268	Band 7 protein:Stomatin
Q6LYF6		MMP1035	14880	137	NfeD-like C-terminal domain-containing protein
Q6LYF8		MMP1033	112976	976	HEAT repeat protein
Q6LYF9	rpa	rpa MMP1032	71388	642	Replication protein A
Q6LYG1		MMP1030	22775	198	Conserved hypothetical archaeal protein
Q6LYG2		MMP1029	14214	119	Uncharacterized protein
Q6LYG4		MMP1027	21345	183	Uncharacterized protein
Q6LYG6		MMP1025	19887	167	Conserved hypothetical archaeal protein
Q6LYG8		MMP1023	23550	200	Transcriptional regulator, TetR Family Member
Q6LYG9		MMP1022	42157	388	SSD domain-containing protein
Q6LYH0		MMP1021	57775	523	Uncharacterized protein
Q6LYH1		MMP1020	36810	334	PurR-regulated permease PerM
Q6LYH2		MMP1019	30164	268	PEGA domain-containing protein
Q6LYH5		MMP1016	47005	413	CBS domain-containing protein
Q6LYH6		MMP1015	12865	112	Transcription factor CBF/NF-Y/archaeal histone:Histone-fold/TFIID-TAF/NF-Y domain
Q6LYH7		MMP1014	40575	355	Elp3/MiaA/NifB-like radical SAM core domain-containing protein
Q6LYI1		MMP1010	33819	297	Pseudouridine synthase:Pseudouridine synthase, Rlu. Related protein
Q6LYJ0		MMP1001	46237	406	DNA repair protein
Q6LYJ1		MMP1000	9048	82	DUF340 domain-containing protein
Q6LYJ2		MMP0999	21069	195	Conserved hypothetical membrane related protein
Q6LYJ3		MMP0998	23252	218	Periplasmic copper-binding protein NosD-like beta helix domain-containing protein
Q6LYJ4		MMP0997	13273	118	Blue (Type 1) copper domain
Q6LYJ5		MMP0996	9807	87	Rubrerythrin rubredoxin-like domain-containing protein
Q6LYJ6		MMP0995	16838	143	Conserved hypothetical archaeal protein
Q6LYJ7		MMP0994	13535	113	Uncharacterized protein
Q6LYJ8		MMP0993	7705	66	Conserved hypothetical helix-turn-helix protein
Q6LYJ9		MMP0992	19538	173	Conserved hypothetical archaeal protein
Q6LYK0		MMP0991	60722	528	Uncharacterized protein
Q6LYK3		MMP0988	32771	295	RNA methyltransferase related protein
Q6LYK5	thyA	thyA MMP0986	32375	291	Thymidylate synthase (EC 2.1.1.45)
Q6LYK9		MMP0982	27601	250	CobQ/CobB/MinD/ParA nucleotide binding domain-containing protein
Q6LYL2		MMP0979	17173	154	Conserved archaeal protein
Q6LYL3		MMP0978	6716	59	RNA-binding protein
Q6LYL4	CooC	CooC MMP0977	28389	260	CO dehydrogenase maturation factor
Q6LYL5		MMP0976	24537	218	Thymidylate synthase
Q6LYL6	modA	modA MMP0975	31030	283	Possible molybdenum ABC transporter, solute-binding protein
Q6LYL7		MMP0974	24822	219	4Fe-4S ferredoxin-type domain-containing protein
Q6LYL8		MMP0973	31349	285	Hypothetical membrane spanning protein
Q6LYL9		MMP0972	15158	137	Lipoprotein
Q6LYM2		MMP0969	15729	138	Transcription elongation factor Elf1
Q6LYM3		MMP0967	16222	143	Serine/threonine dehydratase, pyridoxal-phosphate attachment site
Q6LYM5		MMP0965	22368	192	Formylmethanofuran dehydrogenase subunit E related protein
Q6LYM6		MMP0964	10005	85	Uncharacterized protein
Q6LYM7		MMP0963	24885	239	Aquaporin related
Q6LYM8		MMP0962	7986	71	Zinc finger protein
Q6LYM9		MMP0961	56158	499	DUF2193 domain-containing protein
Q6LYN0		MMP0960	38971	335	Uncharacterized protein
Q6LYN1	trxB	trxB MMP0959	32747	300	Thioredoxin reductase (EC 1.6.4.5)
Q6LYN2		MMP0958	12978	115	Thioredoxin domain-containing protein
Q6LYN3	cycZ	cycZ MMP0957	23761	217	Cytochrome C biogenesis protein transmembrane domain-containing protein
Q6LYN6		MMP0954	18684	157	Uncharacterized protein
Q6LYN7	cbiH	cbiH MMP0953	27907	250	Precorrin-3B C17-methyltransferase (EC 2.1.1.131)
Q6LYP0		MMP0950	55011	476	Uncharacterized protein
Q6LYP2		MMP0948	13873	118	Uncharacterized protein
Q6LYP3		MMP0945	70850	613	Glyceraldehyde-3-phosphate ferredoxin oxidoreductase
Q6LYP4		MMP0944	37567	336	PurR-regulated permease PerM
Q6LYP6		MMP0942	29135	270	Probable membrane transporter protein
Q6LYP7		MMP0941	57498	503	Phosphoadenosine phosphosulfate sulfotransferase putative (EC 2.7.7.4)
Q6LYP8		MMP0940	10896	95	Related to ehbP of Methanothermobacter thermautotrophicus
Q6LYQ4		MMP0934	39529	348	Conserved hypothetical archaeal protein
Q6LYQ5	cheY	cheY MMP0933	13521	123	Chemotaxis protein CheY
Q6LYQ6		MMP0932	25334	229	Probable chemotaxis-related protein
Q6LYQ7		MMP0931	22622	202	Probable chemotaxis-related protein
Q6LYQ8	cheR	cheR MMP0930	32593	270	protein-glutamate O-methyltransferase (EC 2.1.1.80)
Q6LYQ9		MMP0929	52372	479	Methyl-accepting chemotaxis protein (MCP)
Q6LYR3	cheW	cheW MMP0925	16380	147	Chemotaxis protein CheW
Q6LYR6		MMP0922	25171	221	Possible phage infection protein
Q6LYS2		MMP0916	8882	82	PRC-barrel domain-containing protein
Q6LYS3	cobY	cobY cofC MMP0915	22929	202	Nucleoside triphosphate: 5'-deoxyadenosylcobinamide phosphate nucleotidyltransferase
Q6LYS4		MMP0914	26384	235	Conserved hypothetical archaeal protein
Q6LYS5		MMP0913	13459	125	Conserved hypothetical archaeal protein
Q6LYS6		MMP0912	7100	64	Tautomerase related protein
Q6LYS7		MMP0911	20851	193	Related to iron-sulfur flavoprotein of Methanosarcina thermophila
Q6LYS8		MMP0910	16838	142	Uncharacterized protein
Q6LYS9		MMP0909	17650	160	VTT domain-containing protein
Q6LYT0		MMP0908	14194	126	CBS domain
Q6LYT1		MMP0907	15067	130	Predicted archaeal transcriptional regulator
Q6LYT3		MMP0905	21545	198	Pyruvate kinase C-terminal domain-containing protein
Q6LYT6		MMP0901	38910	345	ATP/GTP-binding site motif A (P-loop):Small GTP-binding protein domain
Q6LYT7		MMP0900	24180	217	Rhodanese-like
Q6LYT8		MMP0899	25245	219	ATP/GTP-binding site motif A (P-loop)
Q6LYT9		MMP0898	110537	1026	Cellulose-binding, bacterial type
Q6LYU1		MMP0896	46935	423	Polysaccharide biosynthesis protein
Q6LYU2		MMP0895	23850	202	TPR repeat
Q6LYU5		MMP0892	21213	182	Acetyltransferase related protein
Q6LYU6		MMP0891	22096	191	Exonuclease
Q6LYU8		MMP0889	22646	212	Cobalamin (Vitamin B12) biosynthesis CbiM protein
Q6LYU9		MMP0888	11050	108	Putative cobalt transport protein
Q6LYV0		MMP0887	11752	100	Stress-response A/B barrel domain-containing protein
Q6LYV1		MMP0886	28777	255	Cobalt transport system permease related protein
Q6LYV2		MMP0885	45341	388	TPR repeat:ATP/GTP-binding site motif A (P-loop)
Q6LYV3		MMP0884	19011	165	Uncharacterized protein
Q6LYV4		MMP0883	37044	321	Uncharacterized protein
Q6LYV5	purM	purM MMP0882	32477	293	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)
Q6LYV6		MMP0881	13505	113	Uncharacterized protein
Q6LYW0	slpB	slpB MMP0875	56644	533	S layer protein
Q6LYW1		MMP0874	31283	265	SAM (And some other nucleotide) binding motif
Q6LYW2		MMP0873	65587	567	TPR repeat
Q6LYW4		MMP0871	43390	397	Conserved hypothetical membrane protein
Q6LYW5		MMP0870	34993	318	2-hydroxyacid dehydrogenase, D-isomer specific (EC 1.1.1.29)
Q6LYW6		MMP0869	15653	141	Cytidine/deoxycytidylate deaminase, zinc-binding region related protein
Q6LYW7	proV	proV MMP0868	44152	389	CBS domain:ATP/GTP-binding site motif A (P-loop):ABC transporter:AAA ATPase
Q6LYW9	proX	proX MMP0866	32989	295	Putative glycine betaine/L-proline ABC transporter, solute-binding protein
Q6LYX1	napA-2	napA-2 MMP0864	42437	388	Na+/H+ exchanger
Q6LYX2		MMP0863	17926	158	CBS domain
Q6LYX5	nifX	nifX MMP0860	11972	106	Nitrogen fixation-related protein (EC 1.18.6.1)
Q6LYX6	nifN	nifN MMP0859	50133	458	Iron-molybdenum cofactor biosynthesis protein, subunit N (EC 1.18.6.1)
Q6LYX7		MMP0852	18595	159	Pyridoxamine 5'-phosphate oxidase
Q6LYX8		MMP0851	23685	209	Metal-binding protein
Q6LYX9	potE	potE MMP0850	45346	417	Amino acid/ polyamine transporter family I
Q6LYY0		MMP0849	22154	207	L-lysine/ homoserine-homoserine lactone exporter family
Q6LYY2		MMP0847	22177	199	Uncharacterized protein
Q6LYY3		MMP0846	10018	89	Uncharacterized protein
Q6LYY4		MMP0845	14621	123	Succinate dehydrogenase hydrophobic anchor subunit
Q6LYY5		MMP0844	26806	244	YccA/Bax inhibitor family protein
Q6LYY6		MMP0843	8562	75	Transcriptional regulator
Q6LYY7		MMP0842	15228	132	Uncharacterized protein
Q6LYY8		MMP0841	31306	281	Lysylphosphatidylglycerol synthetase-like protein (DUF2156 family)
Q6LYY9		MMP0840	23130	196	Transcriptional regulator, TetR Family Member
Q6LYZ0		MMP0839	18438	156	Uncharacterized protein
Q6LYZ1		MMP0838	26929	222	YgjP-like metallopeptidase domain-containing protein
Q6LYZ3		MMP0836	45102	393	2-hydroxyglutaryl-CoA dehydratase (Component D) related protein
Q6LYZ5	mtbA	mtbA MMP0834	32461	287	Uroporphyrinogen decarboxylase (URO-D)
Q6LYZ6		MMP0833	33955	302	CobW C-terminal domain-containing protein
Q6LYZ7		MMP0832	64603	592	2Fe-2S ferredoxin-type domain-containing protein
Q6LYZ8	mtbA	mtbA MMP0831	37276	342	Uroporphyrinogen decarboxylase (URO-D)
Q6LYZ9	mtaA	mtaA MMP0830	39841	363	Uroporphyrinogen decarboxylase (URO-D)
Q6LZ00		MMP0829	24166	219	Coenzyme B12-binding:Cobalamin-dependent methionine synthase, B12-binding
Q6LZ01		MMP0828	13510	114	Uncharacterized protein
Q6LZ02		MMP0827	11048	97	Uncharacterized protein
Q6LZ03		MMP0826	10323	88	Transcriptional regulator
Q6LZ05	vhcB	vhcB MMP0824	43065	397	Coenzyme F420-non-reducing hydrogenase subunit beta (EC 1.12.-.-)
Q6LZ06	vhcA	vhcA MMP0823	52673	471	Coenzyme F420-non-reducing hydrogenase subunit alpha (EC 1.12.-.-)
Q6LZ07	vhcG	vhcG MMP0822	32679	300	Coenzyme F420-non-reducing hydrogenase subunit gamma (EC 1.12.-.-)
Q6LZ08	vhcD	vhcD MMP0821	15951	140	Coenzyme F420-non-reducing hydrogenase subunit delta (EC 1.12.-.-)
Q6LZ10	frcD	frcD MMP0819	18213	166	Coenzyme F420-reducing hydrogenase subunit delta (EC 1.12.98.1)
Q6LZ13		MMP0816	8827	73	Bacterial seryl-tRNA synthetase related
Q6LZ14		MMP0815	84523	766	Parallel beta-helix repeat protein
Q6LZ15		MMP0814	46218	412	Uncharacterized protein
Q6LZ16		MMP0813	41922	369	Transglutaminase-like domain-containing protein
Q6LZ17		MMP0812	79883	717	C1A family cysteine protease
Q6LZ18		MMP0811	20287	170	Uncharacterized protein
Q6LZ20		MMP0809	27250	261	Phosphoribosylaminoimidazole carboxylase related protein
Q6LZ21		MMP0808	45246	397	4Fe-4S ferredoxin-type domain-containing protein
Q6LZ22		MMP0807	27832	250	Carboxymuconolactone decarboxylase Related Protein
Q6LZ23		MMP0806	25740	239	TIGR00299 family protein
Q6LZ24		MMP0805	20105	182	Flavodoxin-like domain-containing protein
Q6LZ25		MMP0804	19232	171	Cyclophilin-like domain-containing protein
Q6LZ26		MMP0803	41712	370	Conserved archaeal protein
Q6LZ27		MMP0802	42456	389	Iron-containing alcohol dehydrogenase (EC 1.1.1.1)
Q6LZ28		MMP0801	32662	300	Permease
Q6LZ29		MMP0800	38561	360	Conserved hypothetical Archael protein
Q6LZ30		MMP0799	22169	192	Transcriptional regulator, TetR Family Member
Q6LZ31		MMP0798	25392	222	Lipoprotein
Q6LZ32		MMP0797	42262	401	General substrate transporter
Q6LZ33		MMP0796	43609	404	Probable sugar efflux transporter
Q6LZ34		MMP0795	19072	174	Cyclophilin-like domain-containing protein
Q6LZ35		MMP0794	20008	172	Protein-S-isoprenylcysteine O-methyltransferase Ste14
Q6LZ36		MMP0793	35893	315	DUF3737 family protein
Q6LZ37		MMP0792	36754	331	Membrane protein
Q6LZ38		MMP0791	22067	192	Transcriptional regulator, TetR Family Member
Q6LZ39		MMP0790	21910	200	Uncharacterized protein
Q6LZ40		MMP0789	43729	411	Permease for cytosine/purines, uracil, thiamine, allantoin
Q6LZ42		MMP0787	19439	164	Transcriptional regulator, MarR Family Member
Q6LZ43		MMP0786	6221	51	Uncharacterized protein
Q6LZ44	dop	dop MMP0785	28212	258	Chymotrypsin serine protease, family S1 (EC 3.4.21.-)
Q6LZ45		MMP0784	16162	136	ASCH domain-containing protein
Q6LZ46		MMP0783	58209	499	N-acetyltransferase domain-containing protein
Q6LZ47		MMP0782	12662	111	CRISPR/Cas system CSM-associated protein Csm2 small subunit
Q6LZ48		MMP0781	70308	646	Conserved hypothetical archaeal protein
Q6LZ49		MMP0780	74561	676	Uncharacterized protein
Q6LZ50		MMP0779	15837	149	Uncharacterized protein
Q6LZ51		MMP0778	11643	105	Multisubunit Na+/H+ antiporter MnhE subunit
Q6LZ52		MMP0777	26561	243	Uncharacterized protein
Q6LZ53		MMP0776	16514	159	Conserved hypothetical archaeal protein
Q6LZ54		MMP0775	16893	146	Uncharacterized protein
Q6LZ55		MMP0774	20382	179	Uncharacterized protein
Q6LZ56		MMP0773	53155	457	Conserved hypothetical archaeal protein
Q6LZ57		MMP0772	29518	254	Uncharacterized protein
Q6LZ58		MMP0771	18466	163	Uncharacterized protein
Q6LZ59		MMP0770	28291	250	Probable ABC transporter
Q6LZ60		MMP0769	72766	625	Conserved hypothetical archaeal protein
Q6LZ61		MMP0768	54947	472	Amine oxidase domain-containing protein
Q6LZ62		MMP0767	36158	316	Lysylphosphatidylglycerol synthase-like protein
Q6LZ63	resP	resP MMP0766	20957	184	Site-specific recombinase
Q6LZ64		MMP0765	38848	334	Uncharacterized protein
Q6LZ65		MMP0764	10548	90	Uncharacterized protein
Q6LZ66		MMP0763	11912	102	Uncharacterized protein
Q6LZ67		MMP0762	20390	175	TPR repeat
Q6LZ68		MMP0761	14609	124	Uncharacterized protein
Q6LZ69		MMP0760	8885	76	Uncharacterized protein
Q6LZ70		MMP0759	45347	394	Putative lmo0304
Q6LZ71		MMP0758	38443	323	HNH endonuclease:HNH nuclease
Q6LZ72		MMP0757	11880	102	House-cleaning noncanonical NTP pyrophosphatase (MazG superfamily)
Q6LZ73		MMP0756	50079	426	5-methylcytosine-specific restriction enzyme subunit McrC
Q6LZ74		MMP0755	69801	604	ATP/GTP-binding site motif A (P-loop)
Q6LZ75		MMP0754	51624	435	Shedu protein SduA C-terminal domain-containing protein
Q6LZ76		MMP0753	52980	444	AF-1680-like domain-containing protein
Q6LZ77		MMP0752	11659	99	Uncharacterized protein
Q6LZ78		MMP0751	7391	65	Conserved hypothetical archaeal protein
Q6LZ79		MMP0750	8095	70	Uncharacterized protein
Q6LZ80		MMP0749	20535	175	Uncharacterized protein
Q6LZ82		MMP0747	9218	76	Uncharacterized protein
Q6LZ83		MMP0746	6149	51	Uncharacterized protein
